MUNICIPIO_COD;MREH0116;MREH0126;MREH0136;MREH0146;MREH0156;MREH0166;MREH0111;MREH0121;MREH0131;MREH0141;MREH0151;MREH0161;MREH0112;MREH0122;MREH0132;MREH0142;MREH0152;MREH0162;MREH0113;MREH0123;MREH0133;MREH0143;MREH0153;MREH0163;MREH0114;MREH0134;MREH0144;MREH0154;MREH0164;MREH0115;MREH0125;MREH0135;MREH0145;MREH0155;MREH0165;MREH02;MREH0316;MREH0326;MREH0336;MREH0346;MREH0356;MREH0366;MREH0311;MREH0321;MREH0331;MREH0341;MREH0351;MREH0361;MREH0312;MREH0322;MREH0332;MREH0342;MREH0352;MREH0362;MREH0313;MREH0323;MREH0333;MREH0343;MREH0353;MREH0363;MREH0314;MREH0334;MREH0344;MREH0354;MREH0364;MREH0315;MREH0325;MREH0335;MREH0345;MREH0355;MREH0365;MREH04
1100015;1024;0;326;419;108;171;916;0;310;368;67;171;20;0;0;0;20;0;84;0;16;47;21;0;0;0;0;0;0;4;0;0;4;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-2
1100023;2424;0;439;871;1106;8;2137;0;402;684;1044;7;0;0;0;0;0;0;186;0;31;105;50;0;56;0;56;0;0;45;0;6;26;12;1;Sim;10;0;0;0;8;2;6;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;Não
1100031;328;0;100;145;43;40;266;0;99;92;35;40;25;0;0;25;0;0;35;0;1;28;6;0;0;0;0;0;0;2;0;0;0;2;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100049;2104;0;423;1022;648;11;1721;0;343;850;517;11;10;0;0;5;5;0;203;0;40;117;46;0;0;0;0;0;0;170;0;40;50;80;0;Sim;158;0;1;68;79;10;99;0;0;40;59;0;1;0;0;1;0;0;58;0;1;27;20;10;0;0;0;0;0;0;0;0;0;0;0;Não
1100056;606;92;104;236;149;25;500;90;86;179;120;25;37;0;11;16;10;0;69;2;7;41;19;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100064;657;0;147;214;203;93;563;0;145;186;139;93;64;0;2;19;43;0;30;0;0;9;21;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100072;398;0;142;161;20;75;347;0;135;133;10;69;16;0;1;6;6;3;14;0;6;1;4;3;0;0;0;0;0;21;0;0;21;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100080;636;1;205;194;172;64;570;0;166;181;159;64;19;0;0;7;12;0;40;1;39;0;0;0;0;0;0;0;0;7;0;0;6;1;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100098;920;0;105;405;300;110;730;0;95;320;205;110;60;0;10;25;25;0;70;0;0;20;50;0;0;0;0;0;0;60;0;0;40;20;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100106;753;0;261;347;145;0;542;0;244;210;88;0;97;0;9;68;20;0;99;0;8;65;26;0;0;0;0;0;0;15;0;0;4;11;0;Sim;3;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100114;1474;0;300;502;349;323;1041;0;246;315;157;323;169;0;7;40;122;0;156;0;25;75;56;0;0;0;0;0;0;108;0;22;72;14;0;Sim;4;0;0;1;3;0;4;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100122;4068;1;793;1133;1384;757;2941;1;655;658;873;754;26;0;0;22;4;0;700;0;132;414;154;0;72;1;9;62;0;329;0;5;30;291;3;Sim;86;0;14;50;16;6;47;0;12;23;11;1;0;0;0;0;0;0;39;0;2;27;5;5;0;0;0;0;0;0;0;0;0;0;0;Não
1100130;1226;0;216;385;292;333;959;0;156;295;175;333;190;0;40;53;97;0;77;0;20;37;20;0;0;0;0;0;0;0;0;0;0;0;0;Sim;6;0;1;0;4;1;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;Não
1100148;632;0;171;251;177;33;593;0;171;232;157;33;18;0;0;4;14;0;21;0;0;15;6;0;0;0;0;0;0;0;0;0;0;0;0;Sim;5;0;0;2;3;0;4;0;0;1;3;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100155;1256;0;278;458;520;0;1006;0;219;341;446;0;95;0;31;56;8;0;121;0;26;51;44;0;0;0;0;0;0;34;0;2;10;22;0;Sim;17;0;6;5;4;2;17;0;6;5;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100189;1167;0;78;440;499;150;0;0;0;0;0;0;1078;0;78;400;450;150;89;0;0;40;49;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100205;12800;3;1677;4608;6495;17;11438;3;1540;3903;5978;14;189;0;6;181;2;0;847;0;76;481;288;2;50;0;5;45;0;276;0;55;38;182;1;Sim;264;0;9;125;117;13;58;0;2;28;26;2;50;0;0;27;15;8;90;0;7;29;51;3;63;0;41;22;0;3;0;0;0;3;0;Não
1100254;826;44;413;82;265;22;565;44;284;27;188;22;126;0;54;0;72;0;135;0;75;55;5;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100262;279;0;79;111;38;51;183;0;47;62;23;51;20;0;7;11;2;0;68;0;23;33;12;0;0;0;0;0;0;8;0;2;5;1;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100288;1280;1;79;544;621;35;1079;1;54;414;575;35;125;0;19;90;16;0;76;0;6;40;30;0;0;0;0;0;0;0;0;0;0;0;0;Sim;15;0;1;0;12;2;7;0;0;0;5;2;0;0;0;0;0;0;8;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100296;419;0;100;159;90;70;350;0;100;100;80;70;30;0;0;20;10;0;30;0;0;30;0;0;9;0;9;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100304;2910;0;651;1136;1102;21;1974;0;369;682;904;19;165;0;27;124;14;0;510;0;155;251;102;2;0;0;0;0;0;261;0;100;79;82;0;Sim;72;0;38;27;7;0;60;0;38;15;7;0;0;0;0;0;0;0;11;0;0;11;0;0;1;0;1;0;0;0;0;0;0;0;0;Não
1100320;869;15;330;251;272;1;822;13;317;231;260;1;3;0;0;0;3;0;44;2;13;20;9;0;0;0;0;0;0;0;0;0;0;0;0;Sim;5;0;0;2;3;0;5;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100338;1192;0;266;353;350;223;1116;0;252;318;326;220;23;0;0;5;15;3;50;0;14;27;9;0;0;0;0;0;0;3;0;0;3;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100346;784;0;236;181;215;152;675;0;215;130;178;152;28;0;1;9;18;0;80;0;20;42;18;0;0;0;0;0;0;1;0;0;0;1;0;Sim;43;0;22;19;2;0;22;0;11;10;1;0;0;0;0;0;0;0;16;0;6;9;1;0;0;0;0;0;0;5;0;5;0;0;0;Não
1100379;653;0;135;184;167;167;580;0;120;140;153;167;28;0;5;15;8;0;45;0;10;29;6;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100403;600;0;121;230;108;141;415;0;74;144;56;141;100;0;11;51;38;0;78;0;36;34;8;0;0;0;0;0;0;7;0;0;1;6;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100452;1112;0;82;284;441;305;772;0;60;113;381;218;194;0;6;53;50;85;116;0;16;90;10;0;0;0;0;0;0;30;0;0;28;0;2;Sim;7;0;0;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;1;1;0;0;0;0;0;3;0;0;0;0;3;Não
1100502;401;0;98;138;109;56;334;0;74;112;92;56;26;0;18;6;2;0;41;0;6;20;15;0;0;0;0;0;0;0;0;0;0;0;0;Sim;32;4;19;7;2;0;31;4;19;6;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100601;294;0;41;145;61;47;234;0;38;110;39;47;36;0;1;21;14;0;14;0;2;9;3;0;0;0;0;0;0;10;0;0;5;5;0;Sim;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;Não
1100700;632;1;104;281;154;92;535;0;84;225;136;90;10;0;0;9;1;0;76;1;19;41;15;0;0;0;0;0;0;11;0;1;6;2;2;Sim;2;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1100809;1129;5;276;412;315;121;772;0;168;278;224;102;118;0;8;45;46;19;239;5;100;89;45;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100908;280;3;89;107;80;1;175;0;64;53;57;1;4;0;0;4;0;0;82;3;25;45;9;0;0;0;0;0;0;19;0;0;5;14;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100924;531;1;214;172;144;0;388;0;162;122;104;0;31;0;0;6;25;0;108;1;50;43;14;0;0;0;0;0;0;4;0;2;1;1;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1100940;607;0;174;264;169;0;345;0;116;149;80;0;99;0;7;35;57;0;123;0;30;67;26;0;0;0;0;0;0;40;0;21;13;6;0;Sim;2;0;0;1;1;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1101005;510;69;56;178;186;21;389;66;39;115;148;21;121;3;17;63;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sim;3;0;1;2;0;0;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1101104;467;1;134;223;109;0;321;1;95;156;69;0;20;0;17;3;0;0;90;0;21;55;14;0;0;0;0;0;0;36;0;1;9;26;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1101203;371;0;101;109;161;0;316;0;91;80;145;0;22;0;1;14;7;0;24;0;6;9;9;0;0;0;0;0;0;9;0;3;6;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1101302;296;0;57;106;133;0;255;0;50;75;130;0;0;0;0;0;0;0;41;0;7;31;3;0;0;0;0;0;0;0;0;0;0;0;0;Sim;3;0;0;1;2;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Não
1101401;638;1;180;238;213;6;365;0;95;129;139;2;27;0;0;14;13;0;229;1;85;84;57;2;0;0;0;0;0;17;0;0;11;4;2;Sim;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;Não
1101435;328;46;95;131;30;26;300;30;83;131;30;26;0;0;0;0;0;0;28;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1101450;381;0;15;167;148;51;319;0;15;120;136;48;9;0;0;9;0;0;25;0;0;19;6;0;0;0;0;0;0;28;0;0;19;6;3;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
1101468;303;0;41;161;53;48;185;0;18;93;35;39;19;0;8;11;0;0;87;0;15;57;11;4;0;0;0;0;0;12;0;0;0;7;5;Não;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Não
